symbol,prevprice,currprice,diffP
PRMSX,39.11,38.66,-1.15
LCRIX,18.22,18.01,-1.15
MIOPX,25.22,24.93,-1.15
MAPOX,91.58,90.53,-1.15
JOBEX,21.76,21.51,-1.15
VNQ,77.0,76.11,-1.16
OFC,26.73,26.42,-1.16
ASTE,40.58,40.11,-1.16
GEL,6.05,5.98,-1.16
EPP,37.08,36.65,-1.16
PNI,9.49,9.38,-1.16
SWI,17.18,16.98,-1.16
TRRJX,17.26,17.06,-1.16
FEYIX,18.16,17.95,-1.16
FEYAX,18.03,17.82,-1.16
DROCX,18.1,17.89,-1.16
DTP,42.29,41.8,-1.16
TLT,168.71,166.74,-1.17
UTG,30.64,30.28,-1.17
AUBN,43.69,43.18,-1.17
KXI,51.23,50.63,-1.17
EDV,172.78,170.76,-1.17
AFC,24.84,24.55,-1.17
FDLO,35.03,34.62,-1.17
IHE,154.21,152.4,-1.17
PSL,61.58,60.86,-1.17
GTN-A,12.0,11.86,-1.17
FDNI,26.055,25.7495,-1.17
TESB.BR,25.75,25.45,-1.17
VUS.TO,54.69,54.05,-1.17
PRILX,43.52,43.01,-1.17
PRBLX,43.45,42.94,-1.17
PGUAX,13.66,13.5,-1.17
MIEIX,23.89,23.61,-1.17
FOSFX,45.34,44.81,-1.17
FOSKX,45.24,44.71,-1.17
FEYTX,17.91,17.7,-1.17
APXTU,10.29,10.17,-1.17
YUM,87.46,86.43,-1.18
CUBE,25.5,25.2,-1.18
EGLE,1.7,1.68,-1.18
CCD,17.82,17.61,-1.18
MDIV,13.61,13.45,-1.18
PDT,13.55,13.39,-1.18
JCO,8.025,7.93,-1.18
BDCS,12.73,12.58,-1.18
EWGS,49.5198,48.9333,-1.18
BMRA,7.6,7.51,-1.18
EUDG,23.6634,23.384,-1.18
LAWS,34.01,33.61,-1.18
LNGR,22.9,22.63,-1.18
TBLU,29.9447,29.59,-1.18
TOK,64.9058,64.1376,-1.18
GIMB.BR,50.7,50.1,-1.18
TEQAX,18.67,18.45,-1.18
SDLAX,18.71,18.49,-1.18
FTCLX,17.76,17.55,-1.18
CIPMX,18.71,18.49,-1.18
HGITX,32.11,31.73,-1.18
KIFCX,16.15,15.96,-1.18
RRTPX,16.95,16.75,-1.18
TROCX,19.41,19.18,-1.18
RWCD,60.7064,59.9886,-1.18
URNM,27.93,27.6,-1.18
RGP,11.01,10.88,-1.18
XLP,58.96,58.26,-1.19
VVR,3.36,3.32,-1.19
ADX,14.34,14.17,-1.19
III,2.53,2.5,-1.19
IGD,5.03,4.97,-1.19
JRO,7.54,7.45,-1.19
EOI,13.44,13.28,-1.19
OXFD,12.61,12.46,-1.19
AOA,52.03,51.41,-1.19
ESBA,8.37,8.27,-1.19
LMRKO,22.76,22.49,-1.19
NHTC,4.21,4.16,-1.19
VFLQ,71.99,71.1325,-1.19
BRK-B,189.61,187.36,-1.19
BOLS.AS,8.4,8.3,-1.19
RBA.TO,60.63,59.91,-1.19
FREAX,16.75,16.55,-1.19
JSMTX,22.7,22.43,-1.19
DCGTX,22.7,22.43,-1.19
TIQIX,19.39,19.16,-1.19
JOBBX,21.76,21.5,-1.19
DHCNI,18.43,18.21,-1.19
NSEPX,14.25,14.08,-1.19
BRKB,189.61,187.36,-1.19
SHOP,639.99,632.29,-1.2
ORLY,391.02,386.34,-1.2
EURN,10.82,10.69,-1.2
SCON,0.25,0.247,-1.2
XNTK,85.86,84.83,-1.2
FRI,20.76,20.51,-1.2
AGD,8.3,8.2,-1.2
PBEE,20.8509,20.6,-1.2
SMTS,0.84,0.8299,-1.2
SWZ,7.47,7.38,-1.2
URTH,87.41,86.36,-1.2
VITNX,61.54,60.8,-1.2
VITPX,61.54,60.8,-1.2
FSKAX,81.82,80.84,-1.2
JSMVX,22.48,22.21,-1.2
CIPIX,19.17,18.94,-1.2
DNOV,30.05,29.69,-1.2
SCHB,69.32,68.48,-1.21
EV,37.15,36.7,-1.21
NSA,28.83,28.48,-1.21
IDN,6.215,6.14,-1.21
CHW,6.6,6.52,-1.21
VTHR,132.21,130.61,-1.21
ECCB,22.48,22.2087,-1.21
FLSW,25.8587,25.5471,-1.21
ALINS.PA,1.65,1.63,-1.21
DROYX,19.84,19.6,-1.21
FCAZX,18.11,17.89,-1.21
POMIX,32.16,31.77,-1.21
HGIYX,32.25,31.86,-1.21
FGRSX,29.76,29.4,-1.21
CTV,23.95,23.66,-1.21
BPYUP,15.69,15.5,-1.21
EXPD,72.49,71.605,-1.22
CUB,38.68,38.21,-1.22
IGA,8.22,8.12,-1.22
ACV,20.46,20.21,-1.22
ENFR,13.96,13.79,-1.22
JMOM,28.62,28.27,-1.22
CRT-UN.TO,13.11,12.95,-1.22
XMU.TO,56.5,55.81,-1.22
AIAGX,12.33,12.18,-1.22
JENHX,15.54,15.35,-1.22
PARKX,17.17,16.96,-1.22
VDIGX,27.83,27.49,-1.22
FFNOX,44.44,43.9,-1.22
DNK,6.54,6.46,-1.22
PTON,31.89,31.5,-1.22
SNAP,17.83,17.61,-1.23
PAA,8.94,8.83,-1.23
AER,28.47,28.12,-1.23
BKI,71.45,70.57,-1.23
LBRDA,121.52,120.02,-1.23
DIA,246.45,243.43,-1.23
ANET,222.04,219.3,-1.23
PGRE,9.77,9.65,-1.23
BRKR,39.81,39.32,-1.23
TFSL,13.82,13.65,-1.23
NNI,48.75,48.15,-1.23
USEG,3.26,3.22,-1.23
DWAT,9.87,9.7484,-1.23
EWUS,31.73,31.34,-1.23
HCAP,4.06,4.01,-1.23
RBUS,27.8377,27.4957,-1.23
PSTV,1.63,1.61,-1.23
TBL.TO,0.81,0.8,-1.23
CSXCX,23.54,23.25,-1.23
FARCX,17.06,16.85,-1.23
FRSSX,17.06,16.85,-1.23
PDGIX,47.92,47.33,-1.23
BINIX,21.91,21.64,-1.23
EUMF,25.2379,24.9284,-1.23
SAOSX,17.07,16.86,-1.23
ZIONL,26.1,25.78,-1.23
FEN,12.09,11.94,-1.24
PSLV,5.65,5.58,-1.24
GII,42.84,42.31,-1.24
GLTR,78.79,77.81,-1.24
CSM,67.66,66.82,-1.24
JQUA,29.0,28.64,-1.24
MFEM,19.33,19.09,-1.24
VGG.TO,54.63,53.95,-1.24
BFOCX,29.09,28.73,-1.24
CSXAX,25.1,24.79,-1.24
CISIX,25.76,25.44,-1.24
DHROX,19.43,19.19,-1.24
FGFAX,29.79,29.42,-1.24
WRI,18.42,18.19,-1.25
VREX,26.46,26.13,-1.25
LSI,88.7,87.59,-1.25
DLS,52.75,52.09,-1.25
IWV,169.82,167.69,-1.25
GSLC,59.43,58.69,-1.25
PBT,3.19,3.15,-1.25
OUSA,32.67,32.26,-1.25
EPS,32.0,31.6,-1.25
WILC,12.0,11.85,-1.25
ALFRE.PA,2.4,2.37,-1.25
ALBI.PA,3.2,3.16,-1.25
AKT-A.TO,0.4,0.395,-1.25
ZWH.TO,18.37,18.14,-1.25
XUH.TO,25.57,25.25,-1.25
XMM.TO,25.59,25.27,-1.25
PRDGX,47.94,47.34,-1.25
TADGX,47.88,47.28,-1.25
AREVX,13.57,13.4,-1.25
NBQFX,42.54,42.01,-1.25
FADCX,20.75,20.49,-1.25
FDVAX,21.62,21.35,-1.25
JORCX,12.82,12.66,-1.25
BIGFX,21.57,21.3,-1.25
FGFRX,29.63,29.26,-1.25
NSGAX,14.37,14.19,-1.25
PAWZ,45.56,44.99,-1.25
BK,38.02,37.54,-1.26
ACN,187.56,185.19,-1.26
RRR,11.1,10.96,-1.26
AMUB,8.71,8.6,-1.26
FDMO,35.01,34.57,-1.26
FQAL,34.87,34.43,-1.26
IYY,144.67,142.84,-1.26
MXDU,29.0389,28.6732,-1.26
HSH.TO,71.22,70.32,-1.26
RCO-UN.TO,10.31,10.18,-1.26
ARYCX,23.82,23.52,-1.26
SPXB,91.284,90.1294,-1.26
OVF,22.15,21.87,-1.26
FFTHX,13.47,13.3,-1.26
DVN,12.63,12.47,-1.27
ITOT,65.59,64.76,-1.27
IRT,10.2,10.07,-1.27
AHC,1.57,1.55,-1.27
ATEME.PA,12.58,12.42,-1.27
ZLI.TO,22.81,22.52,-1.27
CSW-A.TO,16.5,16.29,-1.27
MIC.TO,34.76,34.32,-1.27
HGY.TO,5.52,5.45,-1.27
CSRSX,55.12,54.42,-1.27
VPMAX,127.46,125.84,-1.27
VPMCX,122.97,121.41,-1.27
PTEZX,14.2,14.02,-1.27
FZABX,21.97,21.69,-1.27
SMTIX,18.96,18.72,-1.27
SMTYX,18.96,18.72,-1.27
FDVIX,22.0,21.72,-1.27
TRRDX,24.38,24.07,-1.27
GOAT,28.2898,27.93,-1.27
BUYZ,26.0413,25.71,-1.27
BOX,16.35,16.14,-1.28
DOC,15.62,15.42,-1.28
LAMR,58.4,57.65,-1.28
AMPE,0.6163,0.6084,-1.28
BWXT,53.75,53.06,-1.28
MLPI,11.72,11.57,-1.28
KIRK,0.9229,0.9111,-1.28
RQI,10.13,10.0,-1.28
FSZ,45.35,44.77,-1.28
FFTY,30.47,30.08,-1.28
KOIN,27.2501,26.902,-1.28
BCLI,6.23,6.15,-1.28
EMF,12.48,12.32,-1.28
ESG,71.23,70.32,-1.28
LOWC,87.5249,86.4055,-1.28
SBR,28.06,27.7,-1.28
EXE.TO,6.24,6.16,-1.28
JPFAX,25.08,24.76,-1.28
BUFIX,14.9,14.71,-1.28
PARDX,24.14,23.83,-1.28
RRTVX,14.01,13.83,-1.28
FJSCX,14.8,14.61,-1.28
LMNL,8.6,8.49,-1.28
DCOMP,23.5,23.2,-1.28
MSGTX,13.23,13.06,-1.28
SREA,25.78,25.45,-1.28
KEX,54.12,53.42,-1.29
BOE,9.29,9.17,-1.29
CFRX,6.99,6.9,-1.29
CSII,42.55,42.0,-1.29
VDC,149.91,147.97,-1.29
CET,29.38,29.0,-1.29
SUSL,51.4088,50.7434,-1.29
LBON.PA,93.2,92.0,-1.29
PROX.BR,19.725,19.47,-1.29
GWO.TO,23.22,22.92,-1.29
PBH.TO,85.04,83.94,-1.29
VLN.TO,6.18,6.1,-1.29
REICX,13.19,13.02,-1.29
AIGYX,12.36,12.2,-1.29
CLCRX,14.72,14.53,-1.29
RRTDX,23.95,23.64,-1.29
POGSX,66.58,65.72,-1.29
SAOCX,14.77,14.58,-1.29
FZAEX,24.77,24.45,-1.29
FIMKX,24.82,24.5,-1.29
JMBRX,21.76,21.48,-1.29
JMYAX,21.78,21.5,-1.29
KCCB,38.49,37.995,-1.29
OCGN,0.3171,0.313,-1.29
VTI,147.76,145.84,-1.3
NGHC,19.28,19.03,-1.3
ESRT,8.47,8.36,-1.3
AAN,32.33,31.91,-1.3
ZTR,8.47,8.36,-1.3
FSTR,14.58,14.39,-1.3
VEGA,31.12,30.7158,-1.3
DGB.AS,0.77,0.76,-1.3
CSU.TO,1356.12,1338.53,-1.3
MCNVX,17.66,17.43,-1.3
SMTCX,18.52,18.28,-1.3
SAOIX,24.65,24.33,-1.3
SAOAX,16.91,16.69,-1.3
FMCKX,23.05,22.75,-1.3
FAMKX,24.7,24.38,-1.3
IRBO,26.09,25.75,-1.3
SLT,23.6575,23.35,-1.3
ARCC,13.01,12.84,-1.31
TEUM,0.6422,0.6338,-1.31
FREL,22.93,22.63,-1.31
FNI,34.85,34.3919,-1.31
CELC,6.09,6.01,-1.31
AXJL,57.9008,57.14,-1.31
CNYA,28.95,28.57,-1.31
DUSA,22.6371,22.3406,-1.31
SECT,26.7,26.35,-1.31
TTAC,35.05,34.59,-1.31
OZK,22.92,22.62,-1.31
AAV.TO,2.29,2.26,-1.31
CSRIX,39.03,38.52,-1.31
RRTFX,13.73,13.55,-1.31
DGLRX,21.37,21.09,-1.31
MCINX,17.61,17.38,-1.31
FTMKX,24.44,24.12,-1.31
ABEQ,22.22,21.93,-1.31
ECLN,19.78,19.52,-1.31
SDGA,19.3819,19.1289,-1.31
VGRO.TO,25.14,24.81,-1.31
HPP,24.91,24.58,-1.32
INTU,273.43,269.81,-1.32
MIC,27.96,27.59,-1.32
LDL,11.35,11.2,-1.32
ERM,17.0944,16.8693,-1.32
MSN,0.76,0.75,-1.32
FVAL,32.49,32.06,-1.32
AADR,46.81,46.19,-1.32
HTY,5.29,5.22,-1.32
NSYS,3.8,3.75,-1.32
SPXE,63.5583,62.72,-1.32
UAUD,11.73,11.5754,-1.32
CORV,0.3952,0.39,-1.32
USSCX,23.51,23.2,-1.32
NOLCX,18.88,18.63,-1.32
SMTSX,18.91,18.66,-1.32
MCSVX,17.48,17.25,-1.32
TFESX,12.87,12.7,-1.32
QGRO,43.4046,42.83,-1.32
CLPT,3.8,3.75,-1.32
BMY,61.63,60.81,-1.33
LOW,106.16,104.75,-1.33
COST,307.09,303.0,-1.33
FG,10.52,10.38,-1.33
OPK,2.25,2.22,-1.33
PEB,12.0,11.84,-1.33
TBI,15.74,15.53,-1.33
RBA,43.67,43.09,-1.33
EPOL,15.07,14.87,-1.33
CBZ,24.07,23.75,-1.33
RRTS,2.25,2.22,-1.33
MOO,56.24,55.49,-1.33
JHMT,54.3545,53.63,-1.33
MSON,12.76,12.59,-1.33
BILI,27.76,27.39,-1.33
FII.PA,15.0,14.8,-1.33
FSV.TO,121.97,120.35,-1.33
PXS.TO,25.5,25.16,-1.33
POGRX,35.43,34.96,-1.33
MNREX,13.57,13.39,-1.33
DGLCX,20.3,20.03,-1.33
DGLAX,21.04,20.76,-1.33
TRRKX,16.58,16.36,-1.33
SMTAX,18.84,18.59,-1.33
FHKAX,38.97,38.45,-1.33
USSG,27.07,26.71,-1.33
TGTX,11.92,11.76,-1.34
NIE,20.9,20.62,-1.34
KNOW,32.09,31.66,-1.34
SIFY,1.12,1.105,-1.34
UJPY,23.97,23.65,-1.34
GENX.PA,5.98,5.9,-1.34
SSI.PA,1.49,1.47,-1.34
PARLX,16.46,16.24,-1.34
TRRNX,14.22,14.03,-1.34
GBATX,17.97,17.73,-1.34
TFEQX,12.67,12.5,-1.34
MTILX,13.43,13.25,-1.34
UVV,49.03,48.37,-1.35
GDV,17.04,16.81,-1.35
CURE,55.58,54.83,-1.35
DOO,34.03,33.57,-1.35
FLHK,22.19,21.89,-1.35
KBA,31.02,30.6,-1.35
EURN.BR,10.34,10.2,-1.35
GREEN.BR,5.19,5.12,-1.35
DFDMX,26.69,26.33,-1.35
IWIRX,43.65,43.06,-1.35
GINNX,43.85,43.26,-1.35
RRTRX,16.25,16.03,-1.35
PAROX,14.11,13.92,-1.35
FCHKX,37.74,37.23,-1.35
FHKIX,39.12,38.59,-1.35
DSTL,28.58,28.1944,-1.35
NGHCZ,25.14,24.8,-1.35
MOAT,50.62,49.93,-1.36
ISD,12.5,12.33,-1.36
GLMD,4.42,4.36,-1.36
IHD,5.88,5.8,-1.36
MGU,17.7,17.46,-1.36
ATOS,2.21,2.18,-1.36
CFFI,36.05,35.56,-1.36
FT,6.6,6.51,-1.36
JKD,165.633,163.384,-1.36
BOXL,0.7401,0.73,-1.36
DIM,50.62,49.93,-1.36
JKF,97.65,96.32,-1.36
CEN.PA,51.3,50.6,-1.36
SOFT.BR,4.4,4.34,-1.36
CCX.TO,5.14,5.07,-1.36
XHY.TO,17.63,17.39,-1.36
MRC.TO,149.02,147.0,-1.36
NLCIX,28.78,28.39,-1.36
JTSYX,18.34,18.09,-1.36
JTSIX,18.33,18.08,-1.36
TRRMX,14.01,13.82,-1.36
SGOIX,22.09,21.79,-1.36
TS,13.87,13.68,-1.37
QRVO,99.39,98.03,-1.37
WCN,87.1,85.91,-1.37
QUOT,7.28,7.18,-1.37
CHRS,16.83,16.6,-1.37
PSMT,64.42,63.54,-1.37
FDVV,26.29,25.93,-1.37
ICOL,8.03,7.92,-1.37
YCL,56.9598,56.1791,-1.37
FSTA,35.04,34.56,-1.37
PPLC,38.59,38.06,-1.37
RGT,10.24,10.1,-1.37
LSS.PA,14.6,14.4,-1.37
HAZ.TO,22.61,22.3,-1.37
PARFX,13.87,13.68,-1.37
USWGX,22.71,22.4,-1.37
USAWX,22.68,22.37,-1.37
GEDTX,19.72,19.45,-1.37
GBUY,57.51,56.72,-1.37
CNSP,2.91,2.87,-1.37
ADT,5.81,5.73,-1.38
ICE,90.7,89.45,-1.38
MBT,8.69,8.57,-1.38
WSO,163.25,160.99,-1.38
SPHQ,34.07,33.6,-1.38
FENG,1.45,1.43,-1.38
ZSAN,0.7562,0.7458,-1.38
MIXT,9.39,9.26,-1.38
ELD,30.4,29.98,-1.38
RXI,109.76,108.24,-1.38
ESQ,16.65,16.42,-1.38
TRWH,16.0,15.78,-1.38
IDIP.PA,36.3,35.8,-1.38
NLCDX,28.29,27.9,-1.38
TAAIX,13.76,13.57,-1.38
HHHCX,13.78,13.59,-1.38
TIBRX,18.07,17.82,-1.38
GDMA,25.21,24.8629,-1.38
ERSX,14.714,14.5109,-1.38
DE,147.1,145.06,-1.39
NOMD,20.9,20.61,-1.39
SCZ,49.81,49.12,-1.39
HOPE,10.09,9.95,-1.39
GLUU,7.91,7.8,-1.39
GBDC,10.405,10.26,-1.39
EVF,5.04,4.97,-1.39
ICL,3.6,3.55,-1.39
KSA,25.93,25.57,-1.39
IYK,121.32,119.63,-1.39
ALRN,0.5535,0.5458,-1.39
FTHI,19.1341,18.8673,-1.39
SUSA,124.94,123.2,-1.39
CIV.PA,99.39,98.01,-1.39
ALTRO.PA,7.2,7.1,-1.39
ZUQ.TO,43.25,42.65,-1.39
FTG.TO,2.16,2.13,-1.39
CFIMX,105.64,104.17,-1.39
AOVIX,15.78,15.56,-1.39
NLACX,28.86,28.46,-1.39
JTSCX,17.99,17.74,-1.39
SGOVX,21.58,21.28,-1.39
RWDC,49.9938,49.3,-1.39
CNX,10.75,10.6,-1.4
RDFN,21.43,21.13,-1.4
IRET,63.52,62.63,-1.4
APPN,46.32,45.67,-1.4
NFJ,10.73,10.58,-1.4
LGI,13.53,13.34,-1.4
RZA,25.69,25.33,-1.4
DGLY,0.8925,0.88,-1.4
QUS,86.16,84.95,-1.4
WORK,27.07,26.69,-1.4
EDNT,2.14,2.11,-1.4
ORA.TO,62.88,62.0,-1.4
EWENX,18.59,18.33,-1.4
SDVGX,12.84,12.66,-1.4
TAAAX,13.62,13.43,-1.4
TMMAX,15.77,15.55,-1.4
STVYX,15.76,15.54,-1.4
FESOX,20.74,20.45,-1.4
KROS,29.97,29.55,-1.4
AEMD,1.42,1.4,-1.41
CFO,50.92,50.2,-1.41
IBUY,54.6,53.83,-1.41
FLM,39.8725,39.3094,-1.41
GAM,30.43,30.0,-1.41
QDEF,41.2,40.62,-1.41
JBOG.PA,7.1,7.0,-1.41
ZGQ.TO,37.71,37.18,-1.41
XCT.TO,0.355,0.35,-1.41
SDVSX,12.77,12.59,-1.41
SPGM,37.61,37.08,-1.41
RLITX,12.73,12.55,-1.41
IAUF,58.35,57.5248,-1.41
FAST,36.74,36.22,-1.42
IDV,24.25,23.905,-1.42
QUAL,92.3,90.99,-1.42
NHF,9.88,9.74,-1.42
EUSC,25.97,25.6,-1.42
IMOM,23.23,22.9,-1.42
JHML,36.71,36.19,-1.42
PSMB,12.77,12.5893,-1.42
EXE.PA,42.3,41.7,-1.42
VB.TO,5.65,5.57,-1.42
JTSSX,18.3,18.04,-1.42
FPBFX,31.74,31.29,-1.42
LISIX,12.72,12.54,-1.42
FLCSX,28.2,27.8,-1.42
HTEC,27.937,27.5394,-1.42
IBB,125.8,124.0,-1.43
NPTN,9.76,9.62,-1.43
IDHQ,23.15,22.82,-1.43
RFEU,51.1182,50.3861,-1.43
IVAL,23.0,22.67,-1.43
IYC,207.75,204.77,-1.43
NBSE,7.7,7.59,-1.43
AKE.PA,76.8,75.7,-1.43
GVNV.AS,24.55,24.2,-1.43
KXS.TO,141.95,139.92,-1.43
TIBIX,18.21,17.95,-1.43
TIBMX,18.2,17.94,-1.43
HHHSX,14.03,13.83,-1.43
SEMTX,13.99,13.79,-1.43
SEMNX,13.96,13.76,-1.43
SEMVX,13.98,13.78,-1.43
EWL,37.42,36.88,-1.44
HOLI,14.55,14.34,-1.44
PRMW,10.41,10.26,-1.44
ICUI,222.51,219.31,-1.44
KCE,52.71,51.9487,-1.44
FTXH,22.6604,22.3341,-1.44
INKM,29.93,29.5,-1.44
NMI,10.41,10.26,-1.44
YLDE,29.282,28.8591,-1.44
CDAY,59.83,58.97,-1.44
PRNB,63.09,62.18,-1.44
TIBGX,18.1,17.84,-1.44
TIBAX,18.08,17.82,-1.44
IILGX,21.54,21.23,-1.44
FERIX,41.73,41.13,-1.44
FERCX,36.14,35.62,-1.44
TIBCX,18.06,17.8,-1.44
FPACX,29.23,28.81,-1.44
RYCIX,58.45,57.61,-1.44
PBC,22.99,22.66,-1.44
INFO,68.29,67.3,-1.45
EXR,89.54,88.24,-1.45
IAC,226.76,223.48,-1.45
EWN,28.88,28.46,-1.45
TECL,163.25,160.89,-1.45
GMF,92.29,90.95,-1.45
DAC,4.84,4.77,-1.45
IHF,192.89,190.1,-1.45
MLPB,11.72,11.55,-1.45
IQ,17.22,16.97,-1.45
TEP.PA,207.5,204.5,-1.45
MRU.TO,58.11,57.27,-1.45
PRNHX,61.45,60.56,-1.45
PYVSX,15.91,15.68,-1.45
PYVLX,15.9,15.67,-1.45
CAGIX,19.25,18.97,-1.45
RYCPX,44.27,43.63,-1.45
FIDLX,27.5,27.1,-1.45
FALIX,27.53,27.13,-1.45
IXSE,20.1696,19.8776,-1.45
CPRX,4.81,4.74,-1.46
DGRW,43.73,43.09,-1.46
ZIV,32.23,31.76,-1.46
EWX,37.01,36.47,-1.46
GENC,12.3,12.12,-1.46
WHF,9.57,9.43,-1.46
RNEM,40.4795,39.8896,-1.46
RMI,19.9,19.61,-1.46
SDG,63.3571,62.435,-1.46
ALLEX.PA,0.82,0.808,-1.46
CGL.TO,14.36,14.15,-1.46
QBR-B.TO,30.76,30.31,-1.46
VEE.TO,30.72,30.27,-1.46
PRJIX,61.64,60.74,-1.46
VWIGX,30.82,30.37,-1.46
FEATX,39.13,38.56,-1.46
RYPDX,52.92,52.15,-1.46
FALAX,25.98,25.6,-1.46
HDIV,22.5702,22.2397,-1.46
STLC,26.6125,26.225,-1.46
SYNH,56.62,55.79,-1.47
FANG,44.19,43.54,-1.47
DLTR,80.86,79.67,-1.47
MANH,72.0,70.94,-1.47
HSY,134.41,132.43,-1.47
AJG,79.67,78.5,-1.47
GGN,3.4,3.35,-1.47
KRNT,33.67,33.175,-1.47
GNT,4.77,4.7,-1.47
DHIL,111.2,109.56,-1.47
XSW,96.11,94.7,-1.47
JHMS,28.2154,27.8,-1.47
PFD,14.31,14.1,-1.47
BHC,18.39,18.12,-1.47
ZLU.TO,38.04,37.48,-1.47
BK.TO,6.81,6.71,-1.47
QUERX,21.75,21.43,-1.47
VWILX,98.06,96.62,-1.47
DIET,22.9712,22.6326,-1.47
HCXZ,23.6467,23.3,-1.47
FLYT,52.4217,51.65,-1.47
CZR,9.805,9.66,-1.48
ATUS,26.36,25.97,-1.48
ALSK,2.03,2.0,-1.48
WVE,8.81,8.68,-1.48
ITI,4.05,3.99,-1.48
RPG,118.5,116.75,-1.48
GDO,15.53,15.3,-1.48
LEAD,37.8,37.24,-1.48
LVUS,27.27,26.8662,-1.48
SOVB,22.9808,22.64,-1.48
SPXT,52.5494,51.7702,-1.48
OXSQ,2.71,2.67,-1.48
BAR.BR,148.2,146.0,-1.48
CAT31.PA,111.16,109.52,-1.48
IGE.PA,135.0,133.0,-1.48
GIRO.PA,10.15,10.0,-1.48
DG.PA,75.82,74.7,-1.48
GDG-UN.TO,11.45,11.28,-1.48
PXSGX,39.25,38.67,-1.48
FLCCX,22.92,22.58,-1.48
NULC,27.3104,26.9073,-1.48
RESP,31.55,31.082,-1.48
LBRDK,124.53,122.68,-1.49
VOC,2.02,1.99,-1.49
DLB,60.94,60.03,-1.49
AZRE,14.74,14.52,-1.49
TCFC,23.55,23.2,-1.49
BDCZ,12.83,12.6391,-1.49
BJK,32.25,31.77,-1.49
CEY,18.8611,18.5798,-1.49
RHS,135.8,133.78,-1.49
BREB.BR,74.0,72.9,-1.49
ZLD.TO,22.22,21.89,-1.49
PSGAX,38.32,37.75,-1.49
IHORX,14.12,13.91,-1.49
IECS,26.49,26.0948,-1.49
USMV,59.97,59.07,-1.5
CHL,40.58,39.97,-1.5
TARO,70.16,69.11,-1.5
MGNX,7.31,7.2,-1.5
DBGR,24.0,23.64,-1.5
ISNS,4.0,3.94,-1.5
EURZ,18.4372,18.1602,-1.5
TCH.PA,0.214,0.2108,-1.5
DSEEX,13.37,13.17,-1.5
PSGCX,34.04,33.53,-1.5
JDNAX,52.64,51.85,-1.5
GIOTX,13.32,13.12,-1.5
UPS,96.11,94.66,-1.51
ANSS,265.84,261.83,-1.51
FPX,73.75,72.64,-1.51
DINT,16.4755,16.2275,-1.51
CHGX,21.2986,20.9768,-1.51
CRT,6.63,6.53,-1.51
WEHB.BR,53.0,52.2,-1.51
EMP-A.TO,31.2,30.73,-1.51
MEU.TO,20.5,20.19,-1.51
PLV.TO,21.22,20.9,-1.51
SBB.TO,1.99,1.96,-1.51
IHOAX,13.87,13.66,-1.51
HLMNX,20.56,20.25,-1.51
HLMIX,20.58,20.27,-1.51
HAOYX,14.59,14.37,-1.51
SPEU,29.2,28.76,-1.51
UFO,19.24,18.95,-1.51
BJUN,27.12,26.71,-1.51
FDEM,21.19,20.87,-1.51
MDT,99.14,97.63,-1.52
NVAX,18.41,18.13,-1.52
EFR,10.55,10.39,-1.52
DL,7.88,7.76,-1.52
FFTG,24.9999,24.62,-1.52
XHE,84.76,83.47,-1.52
MIRM,17.16,16.9,-1.52
CRR-UN.TO,13.2,13.0,-1.52
GMP.TO,1.32,1.3,-1.52
XMI.TO,34.85,34.32,-1.52
TLV.TO,25.61,25.22,-1.52
AUEIX,21.78,21.45,-1.52
AUENX,21.74,21.41,-1.52
IHOIX,13.78,13.57,-1.52
IHOTX,14.5,14.28,-1.52
AADBX,13.83,13.62,-1.52
VPC,17.14,16.88,-1.52
SFY,10.55,10.39,-1.52
SCS,11.12,10.95,-1.53
FIVN,94.11,92.67,-1.53
ZGNX,28.67,28.23,-1.53
EFG,77.21,76.03,-1.53
ETJ,9.16,9.02,-1.53
SCYX,0.98,0.965,-1.53
SCHC,27.52,27.1,-1.53
XPH,42.62,41.97,-1.53
DTJ,25.53,25.14,-1.53
BLES,24.72,24.341,-1.53
ALC,53.63,52.81,-1.53
VIU.TO,25.57,25.18,-1.53
VTRIX,30.15,29.69,-1.53
IHOSX,14.38,14.16,-1.53
APDKX,29.33,28.88,-1.53
AMLP,5.21,5.13,-1.54
HMHC,1.625,1.6,-1.54
FR,38.36,37.77,-1.54
TRHC,64.33,63.34,-1.54
QES,0.975,0.96,-1.54
FBK,22.69,22.34,-1.54
DNP,11.04,10.87,-1.54
CIBR,29.21,28.76,-1.54
PZG,1.3,1.28,-1.54
FDRR,29.9,29.44,-1.54
IDHD,22.345,22.0,-1.54
QQXT,56.6,55.7265,-1.54
AEYE,7.79,7.67,-1.54
ALPRI.PA,5.18,5.1,-1.54
ZWE.TO,16.87,16.61,-1.54
RLD.TO,22.68,22.33,-1.54
FGSKX,34.52,33.99,-1.54
XSVM,23.36,23.0,-1.54
IJAN,22.7,22.35,-1.54
DXJ,45.29,44.59,-1.55
VT,70.39,69.3,-1.55
ACWI,69.8,68.72,-1.55
IGF,37.41,36.83,-1.55
HZN,1.93,1.9,-1.55
HACK,40.64,40.01,-1.55
RWR,79.1,77.87,-1.55
DWSN,1.29,1.27,-1.55
GSEU,25.8269,25.4277,-1.55
REZ,59.37,58.45,-1.55
ALREW.PA,1.93,1.9,-1.55
VHCOX,60.81,59.87,-1.55
RYOIX,84.49,83.18,-1.55
HUGE,3.31,3.2586,-1.55
